epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,21.5384,1.01333,2.57319,1.13968,0.76946,0.65703,0.75174,0.53754,0.85972,11.736,0.90561,0.00994949,0.0033165,0.00994949,0.0033165,0.00994949,0.0033165,0.00994949,0.0033165
2,33.9535,0.98772,1.4708,1.0985,0.76121,0.77553,0.79367,0.51629,1.03685,17.4802,1.04652,0.0198178,0.00660594,0.0198178,0.00660594,0.0198178,0.00660594,0.0198178,0.00660594
3,44.2639,1.07444,1.28309,1.1556,0.61495,0.66678,0.70436,0.44087,1.10116,80.8531,1.2191,0.0295542,0.00985139,0.0295542,0.00985139,0.0295542,0.00985139,0.0295542,0.00985139
4,54.56,1.14414,1.20145,1.25119,0.73554,0.84714,0.86097,0.58235,0.99107,12.0728,1.15853,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,65.1462,1.04705,0.99558,1.21085,0.67691,0.6731,0.75996,0.50489,1.10619,20.917,1.2428,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,75.3488,1.00262,0.90889,1.19268,0.8175,0.92044,0.9315,0.66775,0.86754,1.24563,1.04441,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,85.3957,0.96237,0.82432,1.16501,0.87813,0.94203,0.95815,0.71244,0.83938,0.97549,1.03336,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,95.4162,0.92585,0.80362,1.15716,0.83917,0.91907,0.95623,0.71165,0.79304,0.88109,0.98663,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,105.532,0.89062,0.75592,1.14672,0.87304,0.88859,0.92292,0.68417,0.78933,0.83455,0.98963,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,115.697,0.87834,0.73328,1.12374,0.88161,0.91943,0.93137,0.68497,0.8393,1.49744,1.0214,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,125.75,0.87086,0.70746,1.13424,0.92264,0.9534,0.95634,0.73287,0.74038,0.60917,0.99302,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,135.804,0.84617,0.68445,1.11436,0.94587,0.97114,0.97486,0.76565,0.67606,0.73348,0.95303,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,145.79,0.8205,0.66716,1.0862,0.92236,0.96624,0.97561,0.74738,0.77154,0.64986,1.0094,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,155.658,0.80917,0.65138,1.08518,0.93692,0.95563,0.97295,0.78559,0.65807,0.53775,0.94822,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,165.853,0.79977,0.62107,1.07919,0.94506,0.95002,0.96177,0.7312,0.76304,0.59915,1.00722,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,175.827,0.79141,0.61395,1.06874,0.94786,0.95909,0.96938,0.78501,0.64954,0.48474,0.93933,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,185.944,0.79213,0.60193,1.07463,0.90343,0.97129,0.97051,0.794,0.63374,0.54763,0.9246,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,195.97,0.76865,0.6061,1.05229,0.92686,0.96849,0.97078,0.77682,0.68312,0.58873,0.95879,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,206.049,0.76246,0.59108,1.06053,0.92416,0.96639,0.95927,0.77941,0.64609,0.66233,0.9424,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,216.101,0.76034,0.57817,1.0594,0.94865,0.95745,0.97968,0.77918,0.66714,0.44187,0.93247,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,226.276,0.7503,0.57515,1.05586,0.94017,0.98166,0.97295,0.79579,0.63567,0.44602,0.92482,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,236.276,0.74777,0.5837,1.04418,0.94505,0.97518,0.97192,0.80068,0.6158,0.52637,0.90503,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,246.272,0.74176,0.5615,1.04003,0.95574,0.96167,0.97366,0.80502,0.61195,0.44099,0.90535,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,256.218,0.7284,0.55604,1.03528,0.94637,0.92235,0.97184,0.80108,0.59553,0.50259,0.90094,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,266.169,0.71815,0.53702,1.03125,0.95016,0.97132,0.97684,0.80322,0.6071,0.44139,0.90103,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,276.302,0.70889,0.53185,1.02931,0.95611,0.96074,0.98144,0.83177,0.56073,0.42191,0.88273,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,286.302,0.71312,0.54036,1.02735,0.94448,0.98772,0.98173,0.79985,0.63734,0.42176,0.93477,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
